DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
25-Feb-2026,EQ,"425.50","430.15","421.40","427.70","423.65","424.95","424.97","2,301.90","400.50","1,01,92,468","4,33,15,21,565.95","1,14,437"
24-Feb-2026,EQ,"430.90","432.45","425.80","430.70","428.00","427.70","428.94","2,301.90","400.50","1,50,16,915","6,44,14,08,362.25","1,59,186"
23-Feb-2026,EQ,"423.00","431.80","420.35","421.35","430.80","430.70","429.03","2,301.90","400.50","1,03,99,627","4,46,17,83,203.40","1,11,335"
20-Feb-2026,EQ,"415.00","423.40","415.00","416.40","420.15","421.35","420.34","2,301.90","400.50","66,03,883","2,77,58,48,343.00","78,212"
19-Feb-2026,EQ,"425.70","425.95","415.85","426.35","417.10","416.40","420.14","2,301.90","400.50","64,73,423","2,71,97,22,946.55","94,181"
18-Feb-2026,EQ,"425.70","427.40","421.35","424.45","425.70","426.35","424.35","2,301.90","400.50","73,33,331","3,11,18,91,121.50","92,041"
17-Feb-2026,EQ,"423.65","425.50","420.60","425.60","424.30","424.45","423.61","2,301.90","400.50","64,27,007","2,72,25,73,323.05","86,872"
16-Feb-2026,EQ,"419.00","426.70","418.25","420.65","426.15","425.60","422.21","2,301.90","400.50","1,24,03,028","5,23,66,96,495.15","1,22,061"
13-Feb-2026,EQ,"426.00","428.90","419.55","426.25","421.90","420.65","421.73","2,301.90","400.50","2,32,33,320","9,79,82,55,032.15","1,30,128"
12-Feb-2026,EQ,"429.40","431.05","425.10","429.55","426.00","426.25","427.64","2,301.90","400.50","1,40,03,384","5,98,84,33,962.65","1,43,461"
11-Feb-2026,EQ,"431.70","431.70","427.75","429.30","429.40","429.55","429.46","2,301.90","400.50","1,22,99,205","5,28,19,65,891.60","1,25,101"
10-Feb-2026,EQ,"430.80","433.90","428.20","428.80","428.45","429.30","431.38","2,301.90","400.50","1,84,28,055","7,94,94,71,551.30","1,70,922"
09-Feb-2026,EQ,"430.00","434.90","424.20","422.35","427.75","428.80","428.43","2,301.90","400.50","2,25,38,542","9,65,61,98,886.95","2,06,232"
06-Feb-2026,EQ,"411.00","424.65","410.30","408.75","422.35","422.35","418.26","2,301.90","400.50","2,12,28,778","8,87,92,24,594.20","1,32,226"
05-Feb-2026,EQ,"411.00","413.95","404.10","412.35","411.65","408.75","408.13","2,301.90","400.50","2,48,14,864","10,12,76,46,613.30","1,53,161"
04-Feb-2026,EQ,"416.70","418.65","410.60","415.80","412.00","412.35","413.45","2,301.90","400.50","1,49,48,177","6,18,03,06,517.90","1,49,086"
03-Feb-2026,EQ,"415.00","425.00","410.30","408.20","415.80","415.80","418.19","2,301.90","400.50","3,53,96,945","14,80,26,20,204.80","2,25,202"
02-Feb-2026,EQ,"408.70","410.85","405.10","407.25","407.80","408.20","408.01","2,301.90","400.50","1,54,22,034","6,29,22,93,483.25","1,33,622"
01-Feb-2026,EQ,"408.50","415.90","403.30","408.00","407.85","407.25","407.85","2,301.90","400.50","89,65,172","3,65,64,16,161.95","58,035"
30-Jan-2026,EQ,"410.00","412.50","405.40","412.40","407.50","408.00","408.08","2,301.90","400.50","2,06,81,886","8,43,99,32,503.50","1,15,896"
29-Jan-2026,EQ,"407.00","414.60","407.00","412.40","412.20","412.40","411.51","2,301.90","400.50","2,60,85,514","10,73,45,27,624.10","1,74,828"
28-Jan-2026,EQ,"409.30","414.20","406.30","408.70","411.40","412.40","410.77","2,301.90","400.50","1,48,23,671","6,08,91,37,297.60","1,26,448"
27-Jan-2026,EQ,"415.00","415.00","400.50","422.80","411.90","408.70","407.16","2,301.90","400.50","4,76,13,963","19,38,65,50,351.40","3,15,156"
23-Jan-2026,EQ,"429.00","429.80","420.40","426.00","424.20","422.80","424.28","2,301.90","415.00","1,05,48,118","4,47,53,52,207.40","1,06,287"
22-Jan-2026,EQ,"423.80","429.80","420.30","421.60","427.10","426.00","425.09","2,301.90","415.00","1,00,87,657","4,28,81,61,930.60","1,11,166"
21-Jan-2026,EQ,"422.10","425.50","416.40","423.80","421.30","421.60","421.74","2,301.90","415.00","1,63,86,060","6,91,07,22,776.50","1,50,932"
20-Jan-2026,EQ,"428.00","431.00","422.50","426.90","423.80","423.80","427.99","2,301.90","415.00","1,88,05,991","8,04,88,58,942.80","1,48,087"
