DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
27-Mar-2026,EQ,"2,123.30","2,127.00","2,069.50","2,134.80","2,075.00","2,074.40","2,089.51","2,479.60","2,033.30","27,89,151","5,82,79,68,073.40","1,21,199"
25-Mar-2026,EQ,"2,098.00","2,154.70","2,086.00","2,085.00","2,136.00","2,134.80","2,135.29","2,479.60","2,033.30","20,69,217","4,41,83,85,771.00","1,40,711"
24-Mar-2026,EQ,"2,070.00","2,115.00","2,066.00","2,052.20","2,091.00","2,085.00","2,087.97","2,479.60","2,033.30","17,02,418","3,55,45,99,148.20","74,728"
23-Mar-2026,EQ,"2,062.30","2,097.00","2,033.30","2,082.70","2,050.00","2,052.20","2,057.46","2,479.60","2,033.30","25,99,535","5,34,84,33,321.50","1,67,567"
20-Mar-2026,EQ,"2,099.70","2,099.80","2,069.00","2,077.30","2,095.00","2,082.70","2,084.35","2,479.60","2,069.00","24,29,744","5,06,44,26,600.50","96,599"
19-Mar-2026,EQ,"2,112.00","2,133.60","2,070.10","2,135.30","2,085.00","2,077.30","2,089.58","2,479.60","2,070.10","20,98,905","4,38,58,34,674.90","1,27,166"
18-Mar-2026,EQ,"2,165.00","2,175.00","2,129.70","2,158.20","2,134.50","2,135.30","2,144.12","2,479.60","2,109.30","24,41,148","5,23,41,08,033.30","91,203"
17-Mar-2026,EQ,"2,172.80","2,184.80","2,145.50","2,175.70","2,166.60","2,158.20","2,158.64","2,479.60","2,109.30","17,05,956","3,68,25,50,300.90","96,887"
16-Mar-2026,EQ,"2,169.60","2,186.70","2,154.00","2,160.00","2,165.40","2,175.70","2,172.66","2,479.60","2,109.30","19,81,511","4,30,51,42,503.30","81,380"
13-Mar-2026,EQ,"2,136.00","2,191.90","2,120.30","2,136.90","2,161.80","2,160.00","2,165.91","2,479.60","2,109.30","22,98,875","4,97,91,62,739.30","1,13,184"
12-Mar-2026,EQ,"2,165.10","2,165.10","2,109.30","2,161.40","2,133.90","2,136.90","2,130.18","2,479.60","2,109.30","17,91,973","3,81,72,23,090.00","1,07,326"
11-Mar-2026,EQ,"2,190.20","2,195.00","2,156.00","2,190.20","2,160.40","2,161.40","2,168.40","2,479.60","2,156.00","13,13,256","2,84,76,70,382.90","1,11,697"
10-Mar-2026,EQ,"2,224.00","2,224.00","2,175.00","2,194.60","2,191.00","2,190.20","2,192.48","2,479.60","2,170.40","10,84,986","2,37,88,11,069.00","84,905"
09-Mar-2026,EQ,"2,199.00","2,200.00","2,170.40","2,225.70","2,193.00","2,194.60","2,188.02","2,479.60","2,170.40","15,12,817","3,31,00,66,767.20","90,048"
06-Mar-2026,EQ,"2,245.10","2,250.00","2,219.50","2,255.00","2,223.10","2,225.70","2,229.55","2,479.60","2,219.50","16,74,258","3,73,28,36,889.50","1,34,825"
05-Mar-2026,EQ,"2,275.50","2,277.80","2,228.40","2,261.30","2,254.90","2,255.00","2,245.23","2,479.60","2,228.40","17,51,288","3,93,20,38,615.60","1,48,905"
04-Mar-2026,EQ,"2,292.90","2,311.60","2,252.10","2,320.60","2,260.00","2,261.30","2,284.98","2,479.60","2,244.70","26,48,737","6,05,23,10,332.80","1,39,227"
02-Mar-2026,EQ,"2,303.00","2,354.00","2,290.20","2,338.10","2,320.00","2,320.60","2,313.19","2,479.60","2,244.70","22,73,224","5,25,83,89,732.30","1,62,389"
27-Feb-2026,EQ,"2,369.30","2,378.90","2,330.60","2,383.30","2,340.00","2,338.10","2,342.97","2,479.60","2,244.70","30,53,227","7,15,36,25,939.80","94,884"
26-Feb-2026,EQ,"2,378.00","2,387.30","2,355.20","2,374.90","2,380.20","2,383.30","2,373.79","2,479.60","2,244.70","14,70,677","3,49,10,72,288.60","80,564"
25-Feb-2026,EQ,"2,368.90","2,380.00","2,349.00","2,358.60","2,374.20","2,374.90","2,368.34","2,479.60","2,244.70","11,58,620","2,74,40,01,485.40","63,805"
24-Feb-2026,EQ,"2,331.10","2,372.00","2,330.30","2,345.40","2,364.80","2,358.60","2,358.14","2,479.60","2,244.70","15,44,803","3,64,28,59,564.00","63,566"
23-Feb-2026,EQ,"2,325.00","2,350.00","2,320.80","2,314.50","2,349.00","2,345.40","2,338.97","2,479.60","2,244.70","13,00,035","3,04,07,45,720.30","53,416"
20-Feb-2026,EQ,"2,285.00","2,331.20","2,278.30","2,279.30","2,318.30","2,314.50","2,315.18","2,479.60","2,244.70","17,16,316","3,97,35,76,871.50","43,733"
19-Feb-2026,EQ,"2,336.00","2,337.40","2,275.60","2,323.50","2,282.00","2,279.30","2,298.01","2,479.60","2,244.70","9,40,180","2,16,05,41,227.00","69,486"
18-Feb-2026,EQ,"2,312.60","2,328.90","2,306.00","2,312.30","2,326.00","2,323.50","2,318.07","2,479.60","2,244.70","8,30,787","1,92,58,22,420.90","49,162"
17-Feb-2026,EQ,"2,309.30","2,326.00","2,303.40","2,319.00","2,312.90","2,312.30","2,311.79","2,479.60","2,244.70","12,33,244","2,85,10,02,725.60","54,398"
16-Feb-2026,EQ,"2,308.10","2,327.00","2,288.10","2,305.20","2,318.30","2,319.00","2,310.73","2,479.60","2,244.70","20,36,833","4,70,65,63,341.40","77,469"
13-Feb-2026,EQ,"2,400.00","2,400.00","2,300.30","2,409.70","2,305.00","2,305.20","2,334.20","2,479.60","2,244.70","27,91,519","6,51,59,61,587.80","1,23,670"
12-Feb-2026,EQ,"2,475.00","2,479.60","2,350.10","2,462.90","2,407.00","2,409.70","2,410.74","2,479.60","2,244.70","46,56,164","11,22,47,96,563.50","2,22,978"
11-Feb-2026,EQ,"2,460.00","2,470.60","2,447.00","2,453.60","2,457.70","2,462.90","2,462.38","2,470.60","2,244.70","11,37,856","2,80,18,31,380.50","56,393"
10-Feb-2026,EQ,"2,435.00","2,458.10","2,430.10","2,435.00","2,449.50","2,453.60","2,446.37","2,458.10","2,244.70","7,92,532","1,93,88,28,440.50","48,233"
09-Feb-2026,EQ,"2,425.00","2,439.00","2,402.00","2,424.20","2,430.00","2,435.00","2,424.79","2,439.00","2,244.70","9,58,484","2,32,41,25,611.90","51,331"
06-Feb-2026,EQ,"2,354.40","2,429.00","2,337.50","2,354.40","2,421.00","2,424.20","2,396.47","2,439.00","2,244.70","14,21,995","3,40,77,65,867.00","87,368"
05-Feb-2026,EQ,"2,362.50","2,423.00","2,351.60","2,371.00","2,356.00","2,354.40","2,378.06","2,439.00","2,244.70","19,62,066","4,66,59,15,504.50","83,304"
04-Feb-2026,EQ,"2,360.60","2,393.50","2,356.80","2,368.60","2,371.00","2,371.00","2,373.04","2,439.00","2,244.70","12,32,755","2,92,53,81,602.40","53,649"
03-Feb-2026,EQ,"2,390.00","2,399.90","2,343.30","2,357.30","2,369.50","2,368.60","2,369.65","2,439.00","2,244.70","15,53,270","3,68,07,11,589.70","84,203"
02-Feb-2026,EQ,"2,356.10","2,360.00","2,303.00","2,350.70","2,351.00","2,357.30","2,337.79","2,439.00","2,244.70","13,75,089","3,21,46,67,462.20","71,449"
01-Feb-2026,EQ,"2,373.00","2,384.90","2,330.30","2,373.00","2,333.00","2,350.70","2,352.51","2,439.00","2,244.70","7,80,378","1,83,58,50,236.60","35,338"
30-Jan-2026,EQ,"2,341.00","2,385.00","2,340.00","2,352.60","2,365.00","2,373.00","2,369.02","2,439.00","2,244.70","20,90,462","4,95,23,39,006.00","79,742"
29-Jan-2026,EQ,"2,370.50","2,374.70","2,312.00","2,378.40","2,345.50","2,352.60","2,342.89","2,439.00","2,244.70","14,78,536","3,46,40,52,693.10","68,266"
